STATE,ST_CASE,PEDS,PERNOTMVIT,PERMVIT,VE_TOTAL,CITY,FullDate,DAY_WEEK,FullTime,NHS,ROUTE,TWAY_ID,LGT_COND,WEATHER,ArrivalAtScene,ArrivalAtHosp,DRUNK_DR,FATALS
1,10001,0,0,1,1,0,01-01-2015,5,02:40:00,0,3,SR-5,2,1,02:58:00,88:88:00,1,1
1,10002,0,0,1,1,0,01-01-2015,5,22:13:00,1,1,I-65,2,10,22:20:00,88:88:00,0,1
1,10003,0,0,2,1,0,01-01-2015,5,01:25:00,0,2,US-SR 6,2,1,01:45:00,99:99:00,1,1
1,10004,0,0,1,1,0,04-01-2015,1,00:57:00,0,3,SR-27,2,10,01:15:00,88:88:00,1,1
1,10005,0,0,2,2,2050,07-01-2015,4,07:09:00,0,2,US-SR 53,1,1,07:16:00,88:88:00,0,1
1,10006,0,0,2,1,0,08-01-2015,5,09:59:00,0,4,CR-82,1,1,10:17:00,99:99:00,0,1
1,10007,0,0,2,1,1730,08-01-2015,5,18:33:00,1,2,US-SR 2,3,1,18:38:00,99:99:00,0,1
1,10008,1,1,1,1,350,03-01-2015,7,21:30:00,0,6,ISHKOODA RD SW,2,2,21:48:00,99:99:00,0,1
1,10009,0,0,1,1,47,13-01-2015,3,08:00:00,1,2,US-SR 3,1,10,08:03:00,88:88:00,0,1
1,10010,0,0,2,2,0,05-01-2015,2,18:45:00,0,3,SR-184,2,1,19:01:00,99:99:00,0,1
1,10011,0,0,2,2,0,07-01-2015,4,20:55:00,0,3,SR-2,2,1,21:20:00,88:88:00,0,1
1,10012,0,0,6,3,1500,09-01-2015,6,06:35:00,0,2,US-SR 1,1,1,06:41:00,99:99:00,0,1
1,10013,0,0,1,1,0,10-01-2015,7,10:55:00,0,4,CR-54,1,1,88:88:00,88:88:00,1,1
1,10014,0,0,1,1,0,11-01-2015,1,06:13:00,0,2,US-SR 15,1,10,06:29:00,88:88:00,1,1
1,10015,0,0,1,1,0,11-01-2015,1,08:30:00,0,4,CR-BYLER RD,1,1,08:55:00,88:88:00,0,1
1,10016,0,0,2,2,2340,13-01-2015,3,17:20:00,0,3,SR-51,3,10,17:30:00,99:99:00,0,1
1,10017,0,0,1,1,0,14-01-2015,4,14:40:00,0,4,CR-IRVINGTON BAYOU LABATRE HWY,1,10,14:50:00,99:99:00,0,1
