STATE,ST_CASE,PVE_FORMS,VEH_NO,CrashDate,CrashTime,PMAN_COLL,PNUMOCCS,PTYPE,PHIT_RUN,PMODEL,PMODYEAR,PGVWR,PV_CONFIG,PHAZ_INV,PHAZ_ID,PVEH_SEV,PTOWED,PFIRE,PDEATHS
1,10076,1,2,13-Feb,10:09,0,0,4,0,481,2012,0,0,1,0,4,3,0,0
1,10234,1,2,11-May,16:00,0,1,2,0,441,1996,0,0,1,0,4,3,0,0
1,10278,1,2,04-Jun,03:29,0,1,2,0,481,2005,0,0,1,0,6,2,0,0
1,10278,1,3,04-Jun,03:29,0,0,2,0,404,2005,0,0,1,0,6,2,0,0
1,10305,1,2,19-Jun,16:09,0,1,2,0,881,2000,3,6,1,0,2,3,0,0
1,10305,1,3,19-Jun,16:09,0,0,2,0,481,2011,0,0,1,0,6,2,0,0
1,10322,2,3,20-Jun,12:15,6,0,2,0,999,9999,0,0,1,0,9,5,0,0
1,10468,1,2,26-Aug,13:25,0,2,2,0,481,2006,2,4,1,0,2,3,0,0
1,10493,1,2,07-Sep,18:45,0,0,3,0,401,1999,0,0,1,0,4,5,0,0
1,10512,1,2,14-Sep,09:59,0,0,2,0,422,1999,0,0,1,0,6,2,0,0
1,10558,1,2,02-Oct,08:53,0,0,3,0,481,2011,0,0,1,0,6,2,0,0
1,10576,1,2,21-Oct,04:00,0,0,2,0,402,2001,0,0,1,0,6,2,0,0
1,10584,2,3,25-Oct,20:30,6,2,3,0,32,2001,0,0,1,0,6,2,0,0
1,10596,1,2,12-Nov,12:48,0,1,2,0,881,2007,3,6,1,0,6,2,0,0
1,10608,1,2,16-Nov,10:20,0,1,4,0,881,2008,2,4,1,0,6,2,0,1
1,10649,1,2,27-Nov,12:15,0,1,2,0,482,2006,0,0,1,0,6,2,0,0
1,10694,1,2,21-Dec,16:20,0,0,3,0,32,2003,0,0,1,0,2,5,0,0
1,10712,2,3,04-Sep,14:15,1,0,2,0,441,2006,0,0,1,0,6,2,0,0
4,40002,1,2,01-Jan,09:02,0,1,2,0,32,2005,0,0,1,0,6,2,0,1
4,40002,1,3,01-Jan,09:02,0,1,2,0,23,2006,0,0,1,0,6,2,0,0
4,40067,3,4,05-Feb,09:25,6,0,3,0,421,2003,0,0,1,0,8,8,0,0
4,40131,1,2,02-Mar,17:12,0,0,3,0,421,2007,0,0,1,0,8,8,0,0
4,40131,1,3,02-Mar,17:12,0,0,3,0,37,2006,0,0,1,0,8,8,0,0
4,40131,1,4,02-Mar,17:12,0,0,3,0,422,2005,0,0,1,0,8,8,0,0
4,40131,1,5,02-Mar,17:12,0,0,3,0,441,2003,0,0,1,0,8,8,0,0
4,40153,1,2,15-Mar,17:26,0,0,2,0,481,2002,0,0,1,0,2,5,0,0
4,40170,1,2,26-Mar,21:02,0,0,3,0,884,2012,3,5,1,0,2,5,0,0
4,40178,1,2,30-Mar,16:55,0,0,2,0,52,2002,0,0,1,0,6,2,0,0
4,40178,1,3,30-Mar,16:55,0,0,2,0,16,2000,0,0,1,0,6,2,0,0
4,40178,1,4,30-Mar,16:55,0,0,2,0,481,2000,0,0,1,0,4,5,0,0
4,40178,1,5,30-Mar,16:55,0,0,2,0,404,2008,0,0,1,0,4,5,0,0
4,40178,1,6,30-Mar,16:55,0,0,2,0,2,2004,0,0,1,0,4,5,0,0
4,40272,1,2,25-Apr,07:48,0,0,2,0,481,1994,0,0,1,0,4,3,0,0
4,40303,1,2,25-May,17:00,0,0,2,0,16,1998,0,0,1,0,2,5,0,0
4,40339,1,2,14-May,20:15,0,0,2,0,481,2007,0,0,1,0,2,5,0,0
4,40339,1,3,14-May,20:15,0,0,2,0,481,2013,0,0,1,0,6,2,0,0
4,40343,1,2,16-May,04:36,0,0,3,0,481,1972,0,0,1,0,6,2,0,0
4,40350,2,3,24-May,22:00,99,0,3,0,999,9999,0,0,1,0,9,9,0,0
4,40350,2,4,24-May,22:00,99,0,3,0,999,9999,0,0,1,0,9,9,0,0
