STATE,ST_CASE,PVE_FORMS,VEH_NO,PFIRE,PDEATHS,CrashDate,CrashTime,PMAN_COLL,PNUMOCCS,PTYPE,PHIT_RUN,PMODEL,PMODYEAR,PGVWR,PV_CONFIG,PHAZ_INV,PVEH_SEV,PTOWED
1,10076,1,2,0,0,13-Feb,10:09:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Working_Motor_Vehicle,No,481,2012,0,Not_Applicable,No,Functional_Damage,Towed_Not_Due_to_Disabling_Damage
1,10234,1,2,0,0,11-May,16:00:00,Not_Collision_with_Motor_Vehicle_in_Transport,1,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,441,1996,0,Not_Applicable,No,Functional_Damage,Towed_Not_Due_to_Disabling_Damage
1,10278,1,2,0,0,04-Jun,03:29:00,Not_Collision_with_Motor_Vehicle_in_Transport,1,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,481,2005,0,Not_Applicable,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
1,10278,1,3,0,0,04-Jun,03:29:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,404,2005,0,Not_Applicable,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
1,10305,1,2,0,0,19-Jun,16:09:00,Not_Collision_with_Motor_Vehicle_in_Transport,1,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,881,2000,3,Tractor/Semi-Trailer,No,Minor_Damage,Towed_Not_Due_to_Disabling_Damage
1,10305,1,3,0,0,19-Jun,16:09:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,481,2011,0,Not_Applicable,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
1,10322,2,3,0,0,20-Jun,12:15:00,Angle,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,999,9999,0,Not_Applicable,No,Unknown,Not_Towed
1,10468,1,2,0,0,26-Aug,13:25:00,Not_Collision_with_Motor_Vehicle_in_Transport,2,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,481,2006,2,Truck_Pulling_Trailer(s),No,Minor_Damage,Towed_Not_Due_to_Disabling_Damage
1,10493,1,2,0,0,07-Sep,18:45:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Outside_the_Trafficway,No,401,1999,0,Not_Applicable,No,Functional_Damage,Not_Towed
1,10512,1,2,0,0,14-Sep,09:59:00,Not_Collision_with_Motor_Vehicle_in_Transport,0,Motor_Vehicle_Not_in_Transport_Within_the_Trafficway,No,422,1999,0,Not_Applicable,No,Disabling_Damage,Towed_Due_to_Disabling_Damage
